medlemmer,n,medlemmer_short_party,medlemmer_short
Maskinarbejder Ib Bjørn Poulsen. (SF),7,Bjørn Poulsen. (SF),Bjørn Poulsen
Offsettrykker Mikael Lennart Waldorff. (VS),7,Lennart Waldorff. (VS),Lennart Waldorff
Overlærer Jens Jørgen Møller. (KrF),7,Jørgen Møller. (KrF),Jørgen Møller
Programsekretær Kaj Valdemar Andersen. (V),7,Valdemar Andersen. (V),Valdemar Andersen
Præst Bent Honoré. (KrF),7,NA,NA
"Redaktør, cand. polit. Uffe Ellemann-Jensen. (V)",7,NA,NA
Sekretær Ib Jørgen Nørlund. (DKP),7,Jørgen Nørlund. (DKP),Jørgen Nørlund
Seminarieadjunkt Bertel Geismar Haarder. (V),7,Geismar Haarder. (V),Geismar Haarder
Socialrådgiver Mette Groes. (S),7,Mette Groes. (S),Mette Groes
Tømrermester Ole Pilgaard Andersen. (FP),7,Pilgaard Andersen. (FP),Pilgaard Andersen
Vicedirektør Karl Kjelgaard. (KF),7,Karl Kjelgaard. (KF),Karl Kjelgaard
Advokat Annelise Gotfredsen. (KF),6,Annelise Gotfredsen. (KF),Annelise Gotfredsen
Bogbinder Kurt Eilif Hansen. (VS),6,Eilif Hansen. (VS),Eilif Hansen
Cand. oecon. Grethe (Inger Margrethe) Philip. (RV),6,NA,NA
Civilingeniør Niels Mølgaard. (DR),6,Niels Mølgaard. (DR),Niels Mølgaard
Direktør Ib Gunnar Stetter. (KF),6,Gunnar Stetter. (KF),Gunnar Stetter
Direktør Palle Julius Skipper Simonsen. (KF),6,Skipper Simonsen. (KF),Skipper Simonsen
Direktør Svend Aage Andersen. (FP),6,Aage Andersen. (FP),Aage Andersen
Fhv. minister Bertha Frederikke Nathalie Lind. (V),6,Nathalie Lind. (V),Nathalie Lind
Fhv. minister Jens Risgaard Knudsen. (S),6,Risgaard Knudsen. (S),Risgaard Knudsen
Fhv. minister Johan Philipsen. (V),6,Johan Philipsen. (V),Johan Philipsen
Fhv. minister Karl Lauritsen Hjortnæs. (S),6,Lauritsen Hjortnæs. (S),Lauritsen Hjortnæs
Fhv. minister Niels Anker Kofoed. (V),6,Anker Kofoed. (V),Anker Kofoed
Fhv. udenrigsminister Knud Børge Andersen. (S),6,Børge Andersen. (S),Børge Andersen
Gårdejer Ernst Bundgaard Schmidt. (FP),6,Bundgaard Schmidt. (FP),Bundgaard Schmidt
Kirkeminister og minister for Grønland Jørgen Peder Hansen. (S),6,Peder Hansen. (S),Peder Hansen
Konsulent John Mogens Arentoft. (FP),6,Mogens Arentoft. (FP),Mogens Arentoft
