medlemmer,n,medlemmer_short_party,medlemmer_short
 Stud. mag. Anne Grete Holmsgård. (VS),2,Grete Holmsgård. (VS),Grete Holmsgård
 Stud. mag. Mimi Vibeke Stilling Jakobsen. (CD),2,Stilling Jakobsen. (CD),Stilling Jakobsen
 Sølvsmed Søren Preben Hansen. (S),2,Preben Hansen. (S),Preben Hansen
 Undervisningsminister Dorte Marianne Bennedsen. (S),2,Marianne Bennedsen. (S),Marianne Bennedsen
 Viceskoleinspektør Ole Vig Jensen. (RV),2,Vig Jensen. (RV),Vig Jensen
 Økonomiminister Ivar Nørgaard. (S),2,Ivar Nørgaard. (S),Ivar Nørgaard
 Østergaard. (S),2,NA,NA
Adjunkt Eva Bente Møller. (KF),2,Bente Møller. (KF),Bente Møller
"Adjunkt, civilingeniør Jytte Hilden. (S)",2,Jytte Hilden. (S),Jytte Hilden
Afdelingssekretær Ole Thomsen. (S),2,Ole Thomsen. (S),Ole Thomsen
Amtsrådsmedlem Henning Andersen. (KF),2,Henning Andersen. (KF),Henning Andersen
Arbejdsminister Erling Johannes Jensen. (S),2,Johannes Jensen. (S),Johannes Jensen
Arkitekt Svend-Aage Johannes Ingomar Petersen. (RV),2,Ingomar Petersen. (RV),Ingomar Petersen
Bibliotekskonsulent Ingerlise Koefoed. (SF),2,Ingerlise Koefoed. (SF),Ingerlise Koefoed
Bogbinder Kurt Ejlif Hansen. (VS),2,Ejlif Hansen. (VS),Ejlif Hansen
Boligminister og miljøminister Hans Karl Helge Nielsen. (S),2,Helge Nielsen. (S),Helge Nielsen
Cand. jur. Hans Kristian Djørup Biltzing. (V),2,Djørup Biltzing. (V),Djørup Biltzing
Cand. mag. Hanne Alice Engberg. (SF),2,Alice Engberg. (SF),Alice Engberg
Cand. polit. Peter Brixtofte. (V),2,Peter Brixtofte. (V),Peter Brixtofte
"Direktør, cand. polit. Erik Haunstrup Clemmensen. (KF)",2,Haunstrup Clemmensen. (KF),Haunstrup Clemmensen
Elektriker Carl Thio Tyroll. (VS),2,Thio Tyroll. (VS),Thio Tyroll
Elektriker Per Blendstrup. (S),2,Per Blendstrup. (S),Per Blendstrup
Fabrikant Svend Hjortlund Christensen. (DR),2,Hjortlund Christensen. (DR),Hjortlund Christensen
"Fhv. borgmester, cand. polit Erhard Villiam Jakobsen. (CD)",2,Villiam Jakobsen. (CD),Villiam Jakobsen
Fhv. minister Erik Holger Hansen. (V),2,Holger Hansen. (V),Holger Hansen
Fhv. minister Jacob Sørensen. (V),2,Jacob Sørensen. (V),Jacob Sørensen
Fhv. minister Orla Møller. (S),2,Orla Møller. (S),Orla Møller
Fhv. minister Poul Christian Dalsager. (S),2,Christian Dalsager. (S),Christian Dalsager
Fhv. udenrigsminister Henning Christophersen. (V),2,Henning Christophersen. (V),Henning Christophersen
Finansminister Svend Aage Jakobsen. (S),2,Aage Jakobsen. (S),Aage Jakobsen
Fiskeriminister Karl Lauritsen Hjortnæs. (S),2,Lauritsen Hjortnæs. (S),Lauritsen Hjortnæs
Forbundsformand Anders Aage Andersen. (S),2,Aage Andersen. (S),Aage Andersen
Forretningsfører Svend Aage Heiselberg. (V),2,Aage Heiselberg. (V),Aage Heiselberg
"Forretningsfører, ingeniør Ervin Jensen. (S)",2,Ervin Jensen. (S),Ervin Jensen
"Fuldmægtig, cand. jur. Elsebeth Kock-Petersen. (V)",2,NA,NA
Godsejer Steen Nymann. (FP),2,Steen Nymann. (FP),Steen Nymann
Gårdejer Frede Houbak. (V),2,Frede Houbak. (V),Frede Houbak
Handelsminister Arne Christiansen. (V),2,Arne Christiansen. (V),Arne Christiansen
Handelsminister Ivar Nørgaard. (S),2,Ivar Nørgaard. (S),Ivar Nørgaard
Husmoder Jytte Maria Andersen. (S),2,Maria Andersen. (S),Maria Andersen
Industriminister Erling Johannes Jensen. (S),2,Johannes Jensen. (S),Johannes Jensen
Justitsminister Bertha Frederikke Nathalie Lind. (V),2,Nathalie Lind. (V),Nathalie Lind
Kirkeminister og minister for Grønland Tove Lindbo Larsen. (S),2,Lindbo Larsen. (S),Lindbo Larsen
Konsulent Karen Marie (Dahlerup) Andersen. (S),2,NA,NA
Landbrugsminister Poul Christian Dalsager. (S),2,Christian Dalsager. (S),Christian Dalsager
Ledende kurator Birthe Vera Nielsen. (SF),2,Vera Nielsen. (SF),Vera Nielsen
Lektor Christian Arnfast. (CD),2,Christian Arnfast. (CD),Christian Arnfast
Lektor Knud Nielsen. (S),2,Knud Nielsen. (S),Knud Nielsen
Lærer Anne Majken Hessner. (S),2,Majken Hessner. (S),Majken Hessner
Lærer Karen Højte Jensen. (KF),2,Højte Jensen. (KF),Højte Jensen
Lærer Lars Emil Johansen. (SF),2,Emil Johansen. (SF),Emil Johansen
Lærer Preben Lange. (Valgt af siumut),2,NA,NA
Miljøminister Carl Erik Holst. (S),2,Erik Holst. (S),Erik Holst
Miljøminister Ivar Nørgaard. (S),2,Ivar Nørgaard. (S),Ivar Nørgaard
Minister for offentlige arbejder Ivar Christian Hansen. (V),2,Christian Hansen. (V),Christian Hansen
Minister for offentlige arbejder Kjeld Støttrup Olesen. (S),2,Støttrup Olesen. (S),Støttrup Olesen
Minister for skatter og afgifter Jens Kampmann. (S),2,Jens Kampmann. (S),Jens Kampmann
Minister for skatter og afgifter Karl Lauritsen Hjortnæs. (S),2,Lauritsen Hjortnæs. (S),Lauritsen Hjortnæs
Minister for skatter og afgifter Svend Aage Jakobsen. (S),2,Aage Jakobsen. (S),Aage Jakobsen
Minister for udenrigsøkonomi og for nordiske anliggender Ivar Nørgaard. (S),2,Ivar Nørgaard. (S),Ivar Nørgaard
Overlærer Flemming Jørgen Jensen. (KF),2,Jørgen Jensen. (KF),Jørgen Jensen
Overlærer Gertrud Stjernholm Nielsen. (DKP),2,Stjernholm Nielsen. (DKP),Stjernholm Nielsen
Postekspeditør Karl Jakob Nielsen. (S),2,Jakob Nielsen. (S),Jakob Nielsen
"Professor, dr. phil. Knud Morten Lange. (SF)",2,Morten Lange. (SF),Morten Lange
Præst Margrete Gunnarsdatter Auken. (SF),2,Gunnarsdatter Auken. (SF),Gunnarsdatter Auken
"Redaktør, cand. jur. Bjørn Erik Elmquist. (V)",2,Erik Elmquist. (V),Erik Elmquist
Sagsbehandler Winnie Møller. (S),2,Winnie Møller. (S),Winnie Møller
Salgschef Keld Robert Andersen. (KF),2,Robert Andersen. (KF),Robert Andersen
Sekretær Kirsten Andersen. (S),2,Kirsten Andersen. (S),Kirsten Andersen
Seminarierektor Erik Sigsgaard. (VS),2,Erik Sigsgaard. (VS),Erik Sigsgaard
Skibsreder Asger Juul Linding Lindinger. (CD),2,Linding Lindinger. (CD),Linding Lindinger
Skibsreder Asger Juul Linding Lindinger. (EP),2,Linding Lindinger. (EP),Linding Lindinger
Socialminister Erling Johannes Jensen. (S),2,Johannes Jensen. (S),Johannes Jensen
Socialminister Ritt Jytte Bjerregaard. (S),2,Jytte Bjerregaard. (S),Jytte Bjerregaard
Statsrevisor Jens Edvard Foged. (V),2,Edvard Foged. (V),Edvard Foged
Stud. mag. Anne Grete Holmsgård. (VS),2,Grete Holmsgård. (VS),Grete Holmsgård
Svend Gunnarsen Auken. (S),2,Gunnarsen Auken. (S),Gunnarsen Auken
"Tidl. højskoleforstander, cand. polit. Robert Lafarque Pedersen. (S)",2,Lafarque Pedersen. (S),Lafarque Pedersen
Universitetslærer Svend Gunnarsen Auken. (S),2,Gunnarsen Auken. (S),Gunnarsen Auken
Vicedirektør John Herbert Winther. (KF),2,Herbert Winther. (KF),Herbert Winther
Økonomiminister og minister for skatter og afgifter Anders Ejnar Andersen. (V),2,Ejnar Andersen. (V),Ejnar Andersen
" 11. Østre storkreds i Professor, dr. jur. Ole Mogens Espersen. (S)",1,Mogens Espersen. (S),Mogens Espersen
 Adjunkt Søren Jakob Riishøj. (SF),1,Jakob Riishøj. (SF),Jakob Riishøj
" Adjunkt, civilingeniør Jytte Hilden. (S)",1,Jytte Hilden. (S),Jytte Hilden
 Advokat Steffen Kjærulff-Schmidt. (FP),1,NA,NA
 Afdelingsingeniør Carl Erik Holst. (S),1,Erik Holst. (S),Erik Holst
 Afdelingsleder Yvonne Herløv Andersen. (CD),1,Herløv Andersen. (CD),Herløv Andersen
 Amtsrådsmedlem Henning Andersen. (KF),1,Henning Andersen. (KF),Henning Andersen
 Arbejdsmand Svend Aage Jensen Bay. (FP),1,Jensen Bay. (FP),Jensen Bay
 Bankbestyrer Ole Stavad. (S),1,Ole Stavad. (S),Ole Stavad
 Bogholder Tove Elisabeth Szymanski Niemann. (FP),1,Szymanski Niemann. (FP),Szymanski Niemann
 Cand. mag. Hanne Alice Engberg. (SF),1,Alice Engberg. (SF),Alice Engberg
 Cand. oecon. Anders Fogh Rasmussen. (V),1,Fogh Rasmussen. (V),Fogh Rasmussen
 Cand. polit. Mogens Niels Juel Camre. (S),1,Juel Camre. (S),Juel Camre
 Civilingeniør Ole Kalnæs. (SF),1,Ole Kalnæs. (SF),Ole Kalnæs
 Civiløkonom Ib Gunnar Stetter. (KF),1,Gunnar Stetter. (KF),Gunnar Stetter
 Deccaassistent Arne Jensen. (S),1,Arne Jensen. (S),Arne Jensen
 Direktør Birgith Mogensen. (CD),1,Birgith Mogensen. (CD),Birgith Mogensen
 Direktør Finn Knud Jørgensen (KF),1,NA,NA
 Direktør Niels Ahlmann-Ohlsen. (KF),1,NA,NA
 Direktør Poul Emmert Andersen. (CD),1,Emmert Andersen. (CD),Emmert Andersen
 Direktør Svend Aage Heiselberg. (V),1,Aage Heiselberg. (V),Aage Heiselberg
 Direktør Thure Barsøe-Carnfeldt. (FP),1,NA,NA
 Entreprenør Helge Dohrmann. (FP),1,Helge Dohrmann. (FP),Helge Dohrmann
 Faglærer Ninna Pedersen. (FP),1,Ninna Pedersen. (FP),Ninna Pedersen
 Familieplejer Erik Hove Sørensen. (SF),1,Hove Sørensen. (SF),Hove Sørensen
" Fhv. borgmester, cand. polit. Erhard Villiam Jakobsen. (CD)",1,Villiam Jakobsen. (CD),Villiam Jakobsen
 Fhv. minister Bertha Frederikke Nathalie Lind. (V),1,Nathalie Lind. (V),Nathalie Lind
 Fhv. minister Erling Kristian Dinesen. (S),1,Kristian Dinesen. (S),Kristian Dinesen
 Fhv. minister Jens Risgaard Knudsen. (S),1,Risgaard Knudsen. (S),Risgaard Knudsen
 Fhv. minister Niels Anker Kofoed. (V),1,Anker Kofoed. (V),Anker Kofoed
 Fhv. minister Per Christen Hækkerup. (S),1,Christen Hækkerup. (S),Christen Hækkerup
 Fhv. minister Ritt Jytte Bjerregaard. (S),1,Jytte Bjerregaard. (S),Jytte Bjerregaard
 Fhv. minister Svend Aage Jakobsen. (S),1,Aage Jakobsen. (S),Aage Jakobsen
" Fhv. minister, gårdejer Anders Ejnar Andersen. (V)",1,Ejnar Andersen. (V),Ejnar Andersen
 Finansminister Svend Aage Jakobsen. (S),1,Aage Jakobsen. (S),Aage Jakobsen
 Fodermester Kristen Kristensen Poulsgaard. (FP),1,Kristensen Poulsgaard. (FP),Kristensen Poulsgaard
 Forfatter Mette Marie Madsen. (V),1,Marie Madsen. (V),Marie Madsen
 Formand for Radiorådet Birte Weiss. (S),1,Birte Weiss. (S),Birte Weiss
 Forstander Jens Kristian Steffensen. (KrF),1,Kristian Steffensen. (KrF),Kristian Steffensen
 Frede Tandrup Jensen. (FP),1,Tandrup Jensen. (FP),Tandrup Jensen
 Gårdejer Anker Tang Sørensen. (FP),1,Tang Sørensen. (FP),Tang Sørensen
 Gårdejer Ernst Bundgaard Schmidt. (FP),1,Bundgaard Schmidt. (FP),Bundgaard Schmidt
 Gårdejer Hans Jørgen Holm. (V),1,Jørgen Holm. (V),Jørgen Holm
 Gårdejer Johannes Jørgen Dixen Burgdorf. (KF),1,Dixen Burgdorf. (KF),Dixen Burgdorf
 Gårdejer Knud ØUgaard. (V),1,NA,NA
 Gårdejer Peder Nicolai Sønderby. (V),1,Nicolai Sønderby. (V),Nicolai Sønderby
" Gårdejer, cand. polit. Hans Jørgen Holm. (V)",1,Jørgen Holm. (V),Jørgen Holm
 Husmand Hans Larsen-Ledet. (RV),1,NA,NA
 Husnioder Jytte Maria Andersen. (S),1,Maria Andersen. (S),Maria Andersen
 I I I . Vestre storkreds i Statsminister Anker Henrik Jørgensen. (S),1,Henrik Jørgensen. (S),Henrik Jørgensen
 I. Søndre storkreds s Finansminister Knud Rasmussen Heinesen. (S),1,Rasmussen Heinesen. (S),Rasmussen Heinesen
 Indenrigsminister og socialminister Jacob Sørensen. (V),1,Jacob Sørensen. (V),Jacob Sørensen
 Jacob Lindenskov. (Valgt af socialdemokratiet). (S),1,NA,NA
 Journalist Janne Grete Normann. (RV),1,Grete Normann. (RV),Grete Normann
 Journalist Lasse Johan Albert Bayer Budtz. (S),1,Bayer Budtz. (S),Bayer Budtz
 Journalist Lis Møller. (KF),1,Lis Møller. (KF),Lis Møller
 Justitsminister og minister for kulturelle anliggender Bertha Frederikke Nathalie Lind. (V),1,Nathalie Lind. (V),Nathalie Lind
 Kirkeminister Egon Carlo Larsen Jensen. (S),1,Larsen Jensen. (S),Larsen Jensen
 Konsulent John Mogens Arentoft. (FP),1,Mogens Arentoft. (FP),Mogens Arentoft
 Konsulent Karen Marie Dahlerup Andersen. (S),1,Dahlerup Andersen. (S),Dahlerup Andersen
 Kristian Albertsen. (S),1,Kristian Albertsen. (S),Kristian Albertsen
 Laboratoriemester Svend Severin Taanquist. (S),1,Severin Taanquist. (S),Severin Taanquist
 Landbrugsminister Bjørn Rømer Westh. (S),1,Rømer Westh. (S),Rømer Westh
 Landbrugsminister Niels Anker Kofoed. (V),1,Anker Kofoed. (V),Anker Kofoed
 Landmand Hans Buchart Ambjerg Petersen. (S),1,Ambjerg Petersen. (S),Ambjerg Petersen
 Landsretssagfører Mogens Glistrup. (FP),1,Mogens Glistrup. (FP),Mogens Glistrup
 Landsretssagfører Nicolai Hagen Hagensen. (KF),1,Hagen Hagensen. (KF),Hagen Hagensen
 Ledende kurator Birthe Vera Nielsen. (SF),1,Vera Nielsen. (SF),Vera Nielsen
 Lektor Eva Bente Møller. (KF),1,Bente Møller. (KF),Bente Møller
 Lis Starcke. (DR),1,Lis Starcke. (DR),Lis Starcke
 Læge Finn Kledal. (S),1,Finn Kledal. (S),Finn Kledal
 Lærer Alfred Hansen. (DR),1,Alfred Hansen. (DR),Alfred Hansen
 Lærer Lars Emil Johansen. (SF),1,Emil Johansen. (SF),Emil Johansen
 Maskinarbejder Ib Bjørn Poulsen. (SF),1,Bjørn Poulsen. (SF),Bjørn Poulsen
 Maskinarbejder Kaj Poulsen. (S),1,Kaj Poulsen. (S),Kaj Poulsen
 Miljøminister Carl Erik Holst. (S),1,Erik Holst. (S),Erik Holst
 Minister for Grønland Jørgen Peder Hansen. (S),1,Peder Hansen. (S),Peder Hansen
 Minister for skatter og afgifter Mogens Lykketoft. (S),1,Mogens Lykketoft. (S),Mogens Lykketoft
 Mogens Glistrup. (FP),1,Mogens Glistrup. (FP),Mogens Glistrup
 Murerarbejdsmand Alfred Andersen. (SF),1,Alfred Andersen. (SF),Alfred Andersen
 Offsettrykker Mikael Lennart Waldorff. (VS),1,Lennart Waldorff. (VS),Lennart Waldorff
 Overlæge Inge Marie Emilie Krogh. (KrF),1,Emilie Krogh. (KrF),Emilie Krogh
 Overlærer Alfred Hansen. (DR),1,Alfred Hansen. (DR),Alfred Hansen
 Overlærer Arne Christian Bjerregaard. (KrF),1,Christian Bjerregaard. (KrF),Christian Bjerregaard
 Overlærer Børge Halvgaard. (FP),1,Børge Halvgaard. (FP),Børge Halvgaard
 Overlærer Ralph Lysholt Hansen. (S),1,Lysholt Hansen. (S),Lysholt Hansen
 Oversætter Uwe Jensen. (FP),1,Uwe Jensen. (FP),Uwe Jensen
 Politiassistent Knud Lind. (FP),1,Knud Lind. (FP),Knud Lind
 Postekspeditør Karl Jakob Nielsen. (S),1,Jakob Nielsen. (S),Jakob Nielsen
 Prokurist Therkel Christensen. (CD),1,Therkel Christensen. (CD),Therkel Christensen
 Redaktør Niels Kallesøe. (KF),1,Niels Kallesøe. (KF),Niels Kallesøe
" Redaktør, cand. jur. Bjørn Erik Elmquist. (V)",1,Erik Elmquist. (V),Erik Elmquist
" Redaktør, cand. polit. Uffe Ellemann-Jensen. (V)",1,NA,NA
 Rektor Erik Brünnich Smith. (S),1,NA,NA
 Sagsbehandler Winnie Møller. (S),1,Winnie Møller. (S),Winnie Møller
 Salgschef Keld Andersen. (KF),1,Keld Andersen. (KF),Keld Andersen
 Salgschef Keld Robert Andersen. (KF),1,Robert Andersen. (KF),Robert Andersen
 Salgschef Knud Erik Nauerby. (FP),1,Erik Nauerby. (FP),Erik Nauerby
 Sekretariatschef Arne Stinus. (RV),1,Arne Stinus. (RV),Arne Stinus
 Sekretær Enrico Møller Andersen. (S),1,Møller Andersen. (S),Møller Andersen
 Sekretær Holger Kirkholm Nielsen. (SF),1,Kirkholm Nielsen. (SF),Kirkholm Nielsen
 Sekretær Kaj Hansen. (DKP),1,Kaj Hansen. (DKP),Kaj Hansen
 Sekretær Ole Henriksen. (SF),1,Ole Henriksen. (SF),Ole Henriksen
 Socialminister Ritt Jytte Bjerregaard. (S),1,Jytte Bjerregaard. (S),Jytte Bjerregaard
 Socialrådgiver Mette Groes. (S),1,Mette Groes. (S),Mette Groes
 Sognepræst Johan Christian Nielsen. (Valgt af socialdemokratiet). (S),1,NA,NA
 Statsaut. revisor Joen Pauli Højgaard Ellefsen. (Valgt af sambandspartiet). (V),1,NA,NA
 Statsminister Anker Henrik Jørgensen. (S),1,Henrik Jørgensen. (S),Henrik Jørgensen
 Stud. mag. Mimi Vibeke Jakobsen. (CD),1,Vibeke Jakobsen. (CD),Vibeke Jakobsen
 Svend Karlskov Jensen. (V),1,Karlskov Jensen. (V),Karlskov Jensen
 Sygehjælper Grethe Lyngs. (CD),1,Grethe Lyngs. (CD),Grethe Lyngs
 Tove Margith Meulengracht Frederiksen. (S),1,Meulengracht Frederiksen. (S),Meulengracht Frederiksen
 Trafikkontrollør Søren Martinus Jensen. (S),1,Martinus Jensen. (S),Martinus Jensen
 Udenrigsminister Kjeld Støttrup Olesen. (S),1,Støttrup Olesen. (S),Støttrup Olesen
 V. Storstrøms a m t s k r e d s s Grete (Karen Margrethe) Hækkerup. (S),1,NA,NA
" Viceskoleinspektør Niels V,, Andersen. (S)",1,NA,NA
 VII. Fyns amtskreds i Socialminister Ritt Jytte Bjerregaard. (S),1,Jytte Bjerregaard. (S),Jytte Bjerregaard
 XIo R i n g k ø b i n g a m t s k r e t e Cand. polit. Robert Lafarque Pedersen. (S),1,Lafarque Pedersen. (S),Lafarque Pedersen
" Økonomichef, cand. polit. Jørgen Bruun. (CD)",1,Jørgen Bruun. (CD),Jørgen Bruun
 Økonomiminister Per Christian Hækkerup. (S),1,Christian Hækkerup. (S),Christian Hækkerup
. Dyrlæge Henning Kvist Gregersen Grove. (KF),1,Gregersen Grove. (KF),Gregersen Grove
. Gårdejer Povl Møllerhøj Brøndsted. (V),1,Møllerhøj Brøndsted. (V),Møllerhøj Brøndsted
. I홢t Karl Johan Mortensen. (S),1,Johan Mortensen. (S),Johan Mortensen
. tiet). (S),1,NA,NA
.Postekspeditør Karl Jakob Nielsen. (S),1,Jakob Nielsen. (S),Jakob Nielsen
> Adjunkt Eva Bente Møller. (KF),1,Bente Møller. (KF),Bente Møller
1 Faglærer Børge Bakholt. (S),1,Børge Bakholt. (S),Børge Bakholt
Adjunkt Knud Nielsen. (S),1,Knud Nielsen. (S),Knud Nielsen
Advokat Torben Lund. (S),1,Torben Lund. (S),Torben Lund
Arbejds- og boligminister Johan Philipsen. (V),1,Johan Philipsen. (V),Johan Philipsen
Arbejdsmand Svend Aage Jensen Bay. (FP),1,Jensen Bay. (FP),Jensen Bay
Arbejdsmand Svend Aage Jensen Bay. (UP),1,Jensen Bay. (UP),Jensen Bay
Arbejdsminister Erling Kristian Dinesen. (S),1,Kristian Dinesen. (S),Kristian Dinesen
Arkitekt Svend-Aage Johaxmes Ingo mar Petersen. (RV),1,NA,NA
Assistent Grethe Kindberg Jørgensen. (CD),1,Kindberg Jørgensen. (CD),Kindberg Jørgensen
Bankbestyrer Ole Stavad (S),1,NA,NA
Bankbestyrer Ole Stavad. (S),1,Ole Stavad. (S),Ole Stavad
"Bankdirektør, fhv. minister Poul Frode Nyboe Andersen. (V)",1,Nyboe Andersen. (V),Nyboe Andersen
Bankfuldmægtig Poul Christian Dalsager. (S),1,Christian Dalsager. (S),Christian Dalsager
Bogbinder Kurt Eilil Hansen. (VS),1,Eilil Hansen. (VS),Eilil Hansen
Bogbinder Kurt Éjlif Hansen. (VS),1,NA,NA
Bogholder Jytte Maria Andersen. (S),1,Maria Andersen. (S),Maria Andersen
Boligminister Erling Heymann. Olsen. (S),1,NA,NA
"Boligminister, dr. polit. Erling Heymann Olsen. (S)",1,Heymann Olsen. (S),Heymann Olsen
Cand. j ur. Hans Kristian Djørup Biltzing. (V),1,Djørup Biltzing. (V),Djørup Biltzing
Cand. jur. Elsebeth Kock-Petersen. (V),1,NA,NA
Cand. mag. Steen Friman Tinning. (VS),1,Friman Tinning. (VS),Friman Tinning
"Cand. polit., redaktør Erlendur Patursson. (Valgt af det republikanske parti). (UP)",1,NA,NA
Chauffør Mogens Yoigt. (FP),1,Mogens Yoigt. (FP),Mogens Yoigt
Chefredaktør Bent Hansen. (S),1,Bent Hansen. (S),Bent Hansen
Chefredaktør Jens Peter Jensen. (V),1,Peter Jensen. (V),Peter Jensen
Civilingeniør Ib August Laurits Längsted; (CD),1,NA,NA
Civilingeniør Uffe ThorndahI. (FP),1,NA,NA
Civilingeniør Uffe Thorndaht (FP),1,NA,NA
"Civilingeniør, H.D. Henning Baunbæk Dyremose. (KF)",1,Baunbæk Dyremose. (KF),Baunbæk Dyremose
Civiløkonom Bernt Johan Holger Collet. (KF),1,Holger Collet. (KF),Holger Collet
Direktør Erik Haunstrup Clemmensen. (KF),1,Haunstrup Clemmensen. (KF),Haunstrup Clemmensen
Direktør Henning Andersen. (KF),1,Henning Andersen. (KF),Henning Andersen
Ejler Koch. (S),1,Ejler Koch. (S),Ejler Koch
Ekspeditionssekretær Ole Thorbjørn Olsen (SF),1,NA,NA
Erhvervsvejleder Knud Raunkjær Pedersen. (S),1,Raunkjær Pedersen. (S),Raunkjær Pedersen
Fabrikant Svend HjQrtlund Christensen. (DR),1,Qrtlund Christensen. (DR),Qrtlund Christensen
Faglærer Lissa Mathiasen. (S),1,Lissa Mathiasen. (S),Lissa Mathiasen
Fhv. minister Dorte Marianne Bennedsen. (8),1,Marianne Bennedsen. (8),Marianne Bennedsen
Fhv. minister Dorte Marianne Bennedsen. (S),1,Marianne Bennedsen. (S),Marianne Bennedsen
Fhv. minister Erling Johannes Jensen. (S),1,Johannes Jensen. (S),Johannes Jensen
Fhv. minister Eva Wilhelmsson Gredal. (S),1,Wilhelmsson Gredal. (S),Wilhelmsson Gredal
Fhv. minister Eva Wilhelmsson Grédal. (S),1,NA,NA
Fhv. minister Ivar Nørgaard. (S),1,Ivar Nørgaard. (S),Ivar Nørgaard
Fhv. minister Jenß Risgaard Knudsen. (S),1,Risgaard Knudsen. (S),Risgaard Knudsen
Fhv. minister Knud Charles Elvig Østergaard. (KF),1,Elvig Østergaard. (KF),Elvig Østergaard
Fhv. minister Niels Anker Koloed. (V),1,Anker Koloed. (V),Anker Koloed
Fhv. minister Niels Peter Jacob Matthiasen. (S),1,Jacob Matthiasen. (S),Jacob Matthiasen
Fhv. minister Ritt Jytte Bjerregaard. (S),1,Jytte Bjerregaard. (S),Jytte Bjerregaard
Fhv. minister Svend Aage Jakobsen. (S),1,Aage Jakobsen. (S),Aage Jakobsen
"Fhv. minister, statsrevisor Henry Grünbaum. (S)",1,NA,NA
Fhv. statsminister Anker Henrik Jørgensen. (S),1,Henrik Jørgensen. (S),Henrik Jørgensen
Fhv. udenrigsminister Ove Guldberg. (V),1,Ove Guldberg. (V),Ove Guldberg
Fhv. udenrigsminister Ove Guldborg. (V),1,Ove Guldborg. (V),Ove Guldborg
Finansminister Anders Ejnar Andersen. (V),1,Ejnar Andersen. (V),Ejnar Andersen
Fiskeskipper Laurits Petersen Tørnæs. (V),1,Petersen Tørnæs. (V),Petersen Tørnæs
"Forfatter, cand. polit. Hans Jørgen Lembourn. (KF)",1,Jørgen Lembourn. (KF),Jørgen Lembourn
"Forfatter, cand. polit. Hans Jørgen Lembourn. (UP)",1,Jørgen Lembourn. (UP),Jørgen Lembourn
"Forfatter, cand. polit. Hans Jørgen Lemhourn. (KF)",1,Jørgen Lemhourn. (KF),Jørgen Lemhourn
Frimærkehandler Jørgen Junior. (UP),1,Jørgen Junior. (UP),Jørgen Junior
"Fuldmægtig, cand. scient. P91. Poul ,Nielson. (S)",1,NA,NA
Gårdejer Elisabeth Krog. (KF),1,Elisabeth Krog. (KF),Elisabeth Krog
Gårdejer Frede Houb aIr 0 (V),1,NA,NA
Gårdejer Johannes Jørgen DÌxen Burgdorf. (KF),1,NA,NA
Gårdejer Knud Petersen Raunkjær (V),1,NA,NA
Gårdejer Paul Jørgen Lohmann. (S),1,Jørgen Lohmann. (S),Jørgen Lohmann
"Gårdejer, cand. polit. Hans Jørgen Holm. (V)",1,Jørgen Holm. (V),Jørgen Holm
Handelsminister Erling Johannes Jensen. (S),1,Johannes Jensen. (S),Johannes Jensen
Husholdnìngslærer Tove Lindbo Larsen. (S),1,Lindbo Larsen. (S),Lindbo Larsen
Højskoleforstander Christian Kelm-Hailsen. (S),1,NA,NA
"I Landskonsulent, cand. agro. Anders Christian Poulsen. (V)",1,Christian Poulsen. (V),Christian Poulsen
I Overlæge Inge Marie Emilie Krogh. (KrF),1,Emilie Krogh. (KrF),Emilie Krogh
I-Viceskoleinspektør Ole Vig Jensen. (RV),1,Vig Jensen. (RV),Vig Jensen
Indenrigsminister Henning Peter Kruse Rasmussen. (S),1,Kruse Rasmussen. (S),Kruse Rasmussen
"Informationschef, fhv. minister Hans Karl Helge Nielsen. (S)",1,Helge Nielsen. (S),Helge Nielsen
Ingeniør Ervin Jensen. (S),1,Ervin Jensen. (S),Ervin Jensen
J Direktør Ole Weirup Bernt Henriksen. (KF),1,Bernt Henriksen. (KF),Bernt Henriksen
Journalist Lasse Johan Albert Bayer Biidtz. (S),1,Bayer Biidtz. (S),Bayer Biidtz
Justitsminister Erling Johannes Jensen. (S),1,Johannes Jensen. (S),Johannes Jensen
Justitsminister Ole Mogens Espersen. (S),1,Mogens Espersen. (S),Mogens Espersen
"Justitsminister, professor, dr. jur. Ole Mogens Espersen. (S)",1,Mogens Espersen. (S),Mogens Espersen
Kaptajn Bent Olsen. (CD),1,Bent Olsen. (CD),Bent Olsen
Kirkeminister Egon Carlo Larsen Jensen. (S),1,Larsen Jensen. (S),Larsen Jensen
Kirsten Brøsted. (DR),1,Kirsten Brøsted. (DR),Kirsten Brøsted
Konsulent Bent Stubkjær Pedersen. (CD),1,Stubkjær Pedersen. (CD),Stubkjær Pedersen
Konsulent Bo Kristensen. (KF),1,Bo Kristensen. (KF),Bo Kristensen
"Konsulent i udenrigsministeriet, cand. jur. René Robert Brusvang. (CD)",1,Robert Brusvang. (CD),Robert Brusvang
Konsulent Ole Bøg Maisted. (FP),1,Bøg Maisted. (FP),Bøg Maisted
Konsulent Steen Steensgaard Gade. (SF),1,Steensgaard Gade. (SF),Steensgaard Gade
Kontorassistent Inger Birgitte Harms. (SF),1,Birgitte Harms. (SF),Birgitte Harms
Kontorassistent Sonja Alice Dahl Mikkelsen. (S),1,Dahl Mikkelsen. (S),Dahl Mikkelsen
